change_failure_rate,cycle_time_in_days,date,developer_satisfaction_agree_count,developer_satisfaction_disagree_count,developer_satisfaction_neutral_count,Flow Efficiency,lead_time_in_days,prod_deployments_failed_count,prod_deployments_success_count,through_put,time_to_restore_in_hours,total_developer_satisfaction,total_incidents_resolved,team_lead
,,2025-01-01,,,,-0.03,53.73014724313026,,1.0,1.0,,2,,michaeljohnson
0.028729782777474917,,2025-02-06,,,,-0.03,90.93051592718803,,,10.47449515772222,,2,,haroldhorne
,3.0086462463053607,2025-03-28,,,,7.351853812549051,123.88173092185522,0.0,,1.0,,0,,markaustin
,,2025-02-12,,,,3.9306766909972675,,,1.0,13.167084262806892,,1,,tinaallen
,182.03968569365645,2025-02-28,,,,-0.03,7.331066905713385,0.0,3.0,1.4796055679425724,,0,,jason06
,60.272285646891945,2025-02-12,,,,2.0998485328431427,72.41928845464089,0.0,,1.0,,0,,mayokimberly
,,2025-04-07,,,,4.1971597581443465,63.47821852865634,0.0,3.0,6.8225087535557885,,2,,rodriguezryan
0.20081259853905267,-43.0,2025-03-14,,,,-0.03,,,2.0,5.497427083587892,,2,,kellycarlos
,,2025-03-13,,,,10.984214992712445,18.021089395624642,0.0,,,,1,,georgemiller
,-41.74983232965586,2025-04-12,0.0,,,2.6879475951109764,323.1240408217814,,,,,0,,jeffrey92
,34.38368044852648,2025-03-11,,0.0,,5.107752087497518,,0.0,,,,0,,amitchell
,,2025-02-27,,,,0.4985383577696371,29.953981145326793,,3.0,,,2,,porterashley
0.10097283159754648,-32.728890832329725,2025-02-11,,,,4.176493443409329,4600.590971060126,0.0,,12.927131843838005,,0,,omullen
,,2025-03-14,,,,7.248700927283446,50.798393198625526,,5.0,1.0,,2,,guerreroanthony
0.0,-15.028542170432182,2025-01-24,,,,-0.03,,,,15.960156055721747,,2,,baileymegan
0.0,,2025-01-12,,,,9.00068106740616,,,,10.077022015219997,,2,,smithcarlos
,92.23173826836398,2025-01-22,,,,7.208187672620485,,0.0,,2.806702899837405,,0,,samuel81
,-43.0,2025-03-17,,,,4.073083096798135,,,1.0,1.0,,0,,terickson
,,2025-04-05,,,,7.886179666983645,12.913600004875049,,,9.632774384658774,,2,,tylerreed
0.0,,2025-03-17,,,,4.144296070535354,17.834835258881945,,1.0,1.0,,1,,fwalters
0.33347326609509526,133.37047821456565,2025-04-09,,,,-0.03,6.622639366384875,0.0,0.0,,,0,,jennifercruz
0.012102502907558224,,2025-02-24,,,,10.869621908460065,6.71999101970064,,2.0,10.360505636687535,,2,,hendersonisabella
,-43.0,2025-02-09,,,,-0.03,,,,1.0,,2,,batesdarlene
,127.94174511454831,2025-01-22,,,,16.86687851203297,234.752822768995,0.0,4.0,6.655788365804328,,2,,samantharichard
0.0,-43.0,2025-02-20,,,,-0.03,549.6094595173488,0.0,,1.0,,2,,lindsayhernandez
0.07607529204487457,25.52019973466754,2025-01-06,,,,6.201359311861266,,,4.0,7.120650002451098,,1,,farmeraudrey
,84.79044168450936,2025-01-30,,,,11.913091584427514,14.786209159403755,,,6.124631809502601,,2,,millsmichael
,-43.0,2025-01-31,,,,-0.03,1.9513870999197374,0.0,,13.952463532640849,,2,,matthewthomas
,222.74733834818204,2025-02-23,,,,-0.03,,0.0,,1.0,,2,,courtney86
0.0,156.92638316952105,2025-03-27,,,,-0.03,197.08434595935222,,,1.0,,0,,sandra84
0.0,98.53411126549821,2025-04-13,,,,3.6248790806912203,11.929111443025594,,,1.0,,2,,brenda51
0.4069328550566982,-39.955573311902384,2025-01-23,,,,9.373289968564919,,,5.0,10.462136539122893,,0,,jasonrojas
,,2025-04-13,,,,1.5565788018192315,23.659162321129337,,2.0,1.0,,2,,griffinemily
0.0,,2025-01-02,,,,-0.03,56.81068506059944,0.0,2.0,11.23592206627728,,2,,kburns
0.21128353329960592,-43.0,2025-03-30,,,,6.674041174294865,26.973641352878815,,2.0,,,0,,lori20
,27.445458794341945,2025-01-19,,,,-0.03,12.388965140338929,,,,,1,,johnsonjoshua
0.09468408305090353,121.16107653726148,2025-02-28,,,,9.862720425855304,6.927252477001211,0.0,,1.0,,2,,kimberly04
